school_id,display_name,mascot_name,color1,color1_name,color2,color2_name,color3,color3_name,mascot_file_name
276,Absegami,Braves,#583925,Brown,#C5B358,Vegas Gold,#FFFFFF,White,Indian_4.svg
226,Allentown,Redbirds,#CC0022,Scarlet Red,#222222,Black,#FFFFFF,White,Hawk 1.svg
217,Asbury Park,Blue Bishops,#92CCFE,Light Blue,#000000,Black,#FFFFFF,White,Bishop.svg
277,Atlantic City,Vikings,#022C66,Navy,#FFFFFF,White,#000000,Black,Viking 3.svg
236,Audubon,Green Wave,#00824B,Kelly Green,#C8880A,Gold,#FFFFFF,White,Wave.svg
246,Barnegat,Bengals,#222222,Black,#CC4E10,Orange,#FFFFFF,White,Tiger.svg
80,Barringer,Blue Bears,#0000FF,Blue,#FFFFFF,White,#000000,Black,Bear.svg
120,Bayonne,Bees,#9A2A2A,Maroon,#FFFFFF,White,#000000,Black,Hornet 1.svg
321,Becton,Wildcats,#8F0018,Maroon,#FFFFFF,White,#000000,Black,Wildcat.svg
100,Belleville,Buccaneers,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Pirate 1.svg
110,Belvidere,County Seaters,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Racoon 1.svg
21,Bergen Catholic,Crusaders,#CC0022,Scarlet Red,#C8880A,Gold,#FFFFFF,White,Crusader 2.svg
359,Bergen Charter,Yellow Jackets,#FFD700,Gold,#000000,Black,#FFFFFF,White,Hornet 2.svg
40,Bergenfield,Bears,#CC0022,Scarlet Red,#222222,Black,#FFFFFF,White,Bear 1.svg
139,Bernards,Mountaineers,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Mountaineer_2.svg
81,Bloomfield,Bengals,#CC0022,Scarlet Red,#454444,Gray,#FFFFFF,White,Tiger 1.svg
70,Boonton,Bombers,#222222,Black,#CC0022,Scarlet Red,#FFFFFF,White,Bomber.svg
227,Bordentown Regional/Florence,Scotties,#1a1a2e,Navy,#FFD700,Gold,#FFFFFF,White,Terrier.svg
322,Bound Brook,Crusaders,#BB271A,Red,#000000,Black,#FFFFFF,White,Crusader 4.svg
130,Brearley,Bears,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Bear 4.svg
207,Brick Memorial,Mustangs,#00341E,Dark Green,#C8880A,Gold,#FFFFFF,White,Horse 1.svg
218,Brick Township,Green Dragons,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Dragon 1.svg
131,Bridgewater-Raritan,Panthers,#000000,Black,#FFFFFF,White,#C0C0C0,Silver,Cougar 1.svg
287,Buena,Chiefs,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Indian 2.svg
360,Buena Regional/Vineland,Fighting Chiefs,#034CB2,Royal Blue,#CC0022,Scarlet Red,#FFFFFF,White,chief rooster.svg
228,Burlington City,Blue Devils,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Devil.svg
229,Burlington Township,Falcons,#000000,Black,#C8880A,Gold,#FFFFFF,White,Falcon.svg
30,Butler,Bulldogs,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Bulldog 2.svg
91,Caldwell,Chiefs,#0039A6,Blue,#FFFFFF,White,#000000,Black,Indian_3.svg
237,Camden,Panthers,#754ACC,Purple,#C8880A,Gold,#FFFFFF,White,Panther_3.svg
278,Camden Catholic,Fighting Irish,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Fighting Irish.svg
148,Carteret,Ramblers,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Rambler.svg
288,Cedar Creek,Pirates,#602121,Maroon,#234C28,Forest Green,#FFFDD0,Cream,Pirate.svg
60,Cedar Grove,Panthers,#222222,Black,#C8880A,Gold,#FFFFFF,White,Panther.svg
168,Central Jersey College Prep,Cougars,#1a1a2e,Navy,#FFD700,Gold,#FFFFFF,White,Cougar 1.svg
247,Central Regional,Golden Eagles,#8F0018,Maroon,#C8880A,Gold,#FFFFFF,White,Eagle 2.svg
266,Cherokee,Chiefs,#503604,Dark Brown,#CC4E10,Orange,#FFFFFF,White,Indian_4.svg
267,Cherry Hill East,Cougars,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Cougar 1.svg
363,Cherry Hill East/Cherry Hill West,Cougar Lions,#CC0022,Scarlet Red,#754ACC,Purple,#FFFFFF,White,Cougar Lion.svg
268,Cherry Hill West,Lions,#754ACC,Purple,#FFFFFF,White,#000000,Black,Lion_2.svg
197,Christian Brothers,Colts,#0C2340,Navy,#FFFFFF,White,#000000,Black,Horse 1.svg
257,Cinnaminson,Pirates,#222222,Black,#CC0022,Scarlet Red,#FFFFFF,White,Pirate 1.svg
305,Clayton,Clippers,#192F59,Navy,#ECDF43,Yellow,#FFFFFF,White,Clipper.svg
306,Clearview,Pioneers,#006D3B,Green,#FFFFFF,White,#000000,Black,Mountaineer_2.svg
364,Cliffside Park,Red Raiders,#FF0000,Red,#000000,Black,#FFFFFF,White,Lancer.svg
365,Cliffside Park/Ridgefield Memorial,Royal Raiders,#FF0000,Red,#4169E1,Royal Blue,#FFFFFF,White,Royal Raider.svg
50,Clifton,Mustangs,#8F0018,Maroon,#454444,Gray,#FFFFFF,White,Horse 1.svg
71,College Achieve Paterson,Pheonix,#1a1a2e,Navy,#FFD700,Gold,#FFFFFF,White,Phoenix.svg
238,Collingswood,Panthers,#0000FF,Blue,#FFD700,Gold,#FFFFFF,White,Panther.svg
149,Colonia,Patriots,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Patriot_2.svg
198,Colts Neck,Cougars,#0f6c0f,Green,#FFFFFF,White,#000000,Black,Cougar.svg
