school_id,name,wrestler_count
1,Cresskill,10
2,Dumont,20
3,Emerson Boro,19
4,Jefferson,21
5,Lakeland,0
6,Old Tappan,32
7,Phillipsburg,32
8,River Dell,23
9,Waldwick,17
10,Westwood,23
11,Don Bosco Prep,22
12,Glen Rock,20
13,Indian Hills,19
14,Mahwah,23
15,Pascack Hills,23
16,Pascack Valley,21
17,Ramapo,21
18,Ramsey,26
19,Ridgewood,22
20,Saddle River Day,2
21,Bergen Catholic,19
22,Depaul Catholic,18
23,Kittatinny Regional Jr/Sr High School,0
24,Newton,20
25,North Warren,12
26,Sparta,21
27,Vernon,32
28,Wallkill Valley,28
29,West Milford,28
30,Butler,20
31,Hawthorne,18
32,High Point,32
33,Kinnelon,15
34,New Milford,21
35,Northern Highlands,2
36,Pequannock,11
37,Pompton Lakes,20
38,Wayne Hills,23
39,West Essex,21
40,Bergenfield,23
41,Dwight Morrow,24
42,Fort Lee,18
43,Hackensack,19
44,Leonia,26
45,Manchester Regional,26
46,Passaic Valley,21
47,St Joseph Regional,14
48,Teaneck,21
49,Tenafly,14
50,Clifton,29
51,Elmwood Park,20
52,Fair Lawn,36
53,Garfield,26
54,Hasbrouck Heights,19
55,Lodi,6
56,Mt. Olive,27
57,Paramus,25
58,Passaic,29
59,Saddle Brook,7
60,Cedar Grove,18
61,Dover,31
62,Lenape Valley,18
63,Mountain Lakes,17
64,Parsippany,15
65,Passaic County Technical-Vocational,0
66,Roxbury,19
67,Warren Hills,36
68,Wayne Valley,25
69,Bogota/Ridgefield Park,16
70,Boonton,29
71,College Achieve Paterson,8
72,Paterson Eastside,13
73,Immaculata,24
74,John F. Kennedy,15
75,Montville,22
76,Morris Hills,29
77,Morris Knolls,21
78,Parsippany Hills,23
79,Pioneer Academy,7
80,Barringer,13
81,Bloomfield,33
82,Delbarton School,19
83,Lyndhurst,18
84,Madison,21
85,Newark Collegiate,21
86,Orange,18
87,Randolph,20
88,St. Mary High School (Rutherford),12
89,Mendham,18
90,Becton,23
91,Caldwell,19
92,Cliffside Park/Ridgefield Park,0
93,Cranford,21
94,Hoboken High School,12
95,North Bergen,16
96,Rutherford,14
97,Secaucus,10
98,Union City,28
99,Weehawken High School,3
100,Belleville,29
101,Glen Ridge,18
102,Governor Livingston,14
103,Kearny,30
104,Livingston,20
105,Montclair,25
106,Nutley,28
107,Verona,17
108,West Morris,17
109,West Orange,33
110,Belvidere,23
111,East Orange,16
112,Hackettstown,15
113,Hanover Park,24
114,Morristown,32
115,Newark Academy,9
116,North Star Academy,22
117,Pope John XXIII,21
118,St. Benedicts Prep School,16
119,Whippany Park,14
120,Bayonne,35
121,Columbia,27
122,Newark East Side,20
123,Elizabeth,37
124,Hillside High School,7
125,Roselle Park,27
126,Scotch Plains-Fanwood,35
127,Seton Hall Prep,18
128,Westfield,23
129,Johnson,19
130,Brearley,20
131,Bridgewater-Raritan,28
132,Irvington,23
133,Millburn,17
134,New Providence,16
135,North Hunterdon,39
136,South Hunterdon,9
137,Summit,16
138,Union,24
139,Bernards,20
140,Bound Brook HS,21
141,Delaware Valley,28
142,Middlesex/Dunellen,21
143,North Plainfield,33
144,Pingry,13
145,Somerville,31
146,Voorhees,17
147,Watchung Hills,34
148,Carteret,24
149,Colonia,22
150,Iselin Kennedy,15
151,John P. Stevens,25
152,Linden,33
153,Paramus Catholic,27
154,Plainfield,31
155,Rahway,33
156,Ridge,20
157,South Plainfield,21
158,East Brunswick,12
159,Middletown North,25
160,Middletown South,31
161,Monmouth Regional,12
162,North Brunswick,13
163,Old Bridge,34
164,South Brunswick,24
165,South River,15
166,Spotswood,21
167,St. Peter's Prep,14
168,Central Jersey College Prep,7
169,Franklin,20
170,Hopewell Valley,28
171,Manville,25
172,Monroe,25
173,Montgomery,29
174,Princeton,30
175,Rumson-Fair Haven,17
176,West Windsor-Plainsboro North,27
177,West Windsor-Plainsboro South,20
178,Edison,21
179,Highland Park,18
180,Metuchen,22
181,New Brunswick,30
182,Perth Amboy,30
183,Piscataway,29
184,Raritan,37
185,Sayreville War Memorial,25
186,St. Joseph Metuchen,20
187,Woodbridge,23
188,Hillsborough,30
189,Holmdel,24
190,Hunterdon Central,31
191,Keansburg,12
192,Keyport,0
193,Marlboro,33
194,Matawan Regional,0
195,Red Bank Regional,27
196,Rutgers Prep,19
197,Christian Brothers,20
198,Colts Neck,23
199,Freehold Borough,32
200,Freehold Township,25
201,Holy Cross,16
202,Jackson Memorial Hs,24
203,Lakewood,31
204,Manalapan,34
205,New Egypt,22
206,Ranney,1
207,Brick Memorial,24
208,Steinert,31
209,Nottingham,25
210,Lawrence,32
211,Long Branch,29
212,Northern Burlington County Regional,0
213,Notre Dame,30
214,Riverside,20
215,Robbinsville,26
216,Trenton,35
217,Asbury Park,18
218,Brick Township,32
219,Jackson Liberty,14
220,Manasquan,24
221,Neptune,21
222,Ocean Township,25
223,Point Pleasant Beach,24
224,Point Pleasant Boro,29
225,Shore,16
226,Allentown,22
227,Bordentown Regional/Florence,31
228,Burlington City,18
229,Burlington Township,21
230,Ewing,27
231,Hamilton West,32
232,Hightstown,27
233,Howell,34
234,Saint Thomas Aquinas,27
235,Wall,23
236,Audubon,25
237,Camden,5
238,Collingswood,30
239,Haddon Heights,19
240,Haddon Township,25
241,Paul VI,18
242,Pennsauken,35
243,Saint John Vianney,20
244,Sterling,25
245,West Deptford,30
246,Barnegat,22
247,Central Regional,34
248,Donovan Catholic,4
249,Lacey,21
250,Manchester Township,29
251,Pinelands Regional,20
252,Southern Regional,36
